Dataset name: ptbdb, Model name: vanilla_rnn, Transfer learning: True, RNN freeze: never, RNN Bidirectional: False, RNN Num Layers: 1
Total number of trainable parameters in vanilla_rnn model: 17413
Train mitbih | Epoch: 1, cross_entropy_loss: 1.6, unbalanced_acc_score: 0.613, balanced_acc_score: 0.219
Validation mitbih | Epoch: 1, cross_entropy_loss: 1.595, unbalanced_acc_score: 0.826, balanced_acc_score: 0.22
Saving the best checkpoint...
Train mitbih | Epoch: 2, cross_entropy_loss: 1.599, unbalanced_acc_score: 0.544, balanced_acc_score: 0.235
Validation mitbih | Epoch: 2, cross_entropy_loss: 1.559, unbalanced_acc_score: 0.097, balanced_acc_score: 0.26
Saving the best checkpoint...
Train mitbih | Epoch: 3, cross_entropy_loss: 1.563, unbalanced_acc_score: 0.325, balanced_acc_score: 0.261
Validation mitbih | Epoch: 3, cross_entropy_loss: 1.562, unbalanced_acc_score: 0.098, balanced_acc_score: 0.263
Train mitbih | Epoch: 4, cross_entropy_loss: 1.562, unbalanced_acc_score: 0.327, balanced_acc_score: 0.258
Validation mitbih | Epoch: 4, cross_entropy_loss: 1.543, unbalanced_acc_score: 0.102, balanced_acc_score: 0.281
Saving the best checkpoint...
Train mitbih | Epoch: 5, cross_entropy_loss: 1.565, unbalanced_acc_score: 0.332, balanced_acc_score: 0.267
Validation mitbih | Epoch: 5, cross_entropy_loss: 1.557, unbalanced_acc_score: 0.043, balanced_acc_score: 0.248
Train mitbih | Epoch: 6, cross_entropy_loss: 1.563, unbalanced_acc_score: 0.385, balanced_acc_score: 0.259
Validation mitbih | Epoch: 6, cross_entropy_loss: 1.587, unbalanced_acc_score: 0.827, balanced_acc_score: 0.251
Train mitbih | Epoch: 7, cross_entropy_loss: 1.561, unbalanced_acc_score: 0.399, balanced_acc_score: 0.255
Validation mitbih | Epoch: 7, cross_entropy_loss: 1.597, unbalanced_acc_score: 0.832, balanced_acc_score: 0.24
Train mitbih | Epoch: 8, cross_entropy_loss: 1.591, unbalanced_acc_score: 0.413, balanced_acc_score: 0.237
Validation mitbih | Epoch: 8, cross_entropy_loss: 1.545, unbalanced_acc_score: 0.094, balanced_acc_score: 0.269
Train mitbih | Epoch: 9, cross_entropy_loss: 1.553, unbalanced_acc_score: 0.364, balanced_acc_score: 0.274
Validation mitbih | Epoch: 9, cross_entropy_loss: 1.517, unbalanced_acc_score: 0.126, balanced_acc_score: 0.293
Saving the best checkpoint...
Train mitbih | Epoch: 10, cross_entropy_loss: 1.623, unbalanced_acc_score: 0.307, balanced_acc_score: 0.222
Validation mitbih | Epoch: 10, cross_entropy_loss: 1.585, unbalanced_acc_score: 0.078, balanced_acc_score: 0.228
Train mitbih | Epoch: 11, cross_entropy_loss: 1.605, unbalanced_acc_score: 0.331, balanced_acc_score: 0.223
Validation mitbih | Epoch: 11, cross_entropy_loss: 1.598, unbalanced_acc_score: 0.807, balanced_acc_score: 0.227
Train mitbih | Epoch: 12, cross_entropy_loss: 1.613, unbalanced_acc_score: 0.367, balanced_acc_score: 0.222
Validation mitbih | Epoch: 12, cross_entropy_loss: 1.617, unbalanced_acc_score: 0.814, balanced_acc_score: 0.229
Train mitbih | Epoch: 13, cross_entropy_loss: 1.604, unbalanced_acc_score: 0.324, balanced_acc_score: 0.23
Validation mitbih | Epoch: 13, cross_entropy_loss: 1.597, unbalanced_acc_score: 0.814, balanced_acc_score: 0.227
Train mitbih | Epoch: 14, cross_entropy_loss: 1.609, unbalanced_acc_score: 0.408, balanced_acc_score: 0.223
Validation mitbih | Epoch: 14, cross_entropy_loss: 1.595, unbalanced_acc_score: 0.082, balanced_acc_score: 0.222
Train mitbih | Epoch: 15, cross_entropy_loss: 1.601, unbalanced_acc_score: 0.446, balanced_acc_score: 0.219
Validation mitbih | Epoch: 15, cross_entropy_loss: 1.618, unbalanced_acc_score: 0.081, balanced_acc_score: 0.224
Train mitbih | Epoch: 16, cross_entropy_loss: 1.593, unbalanced_acc_score: 0.732, balanced_acc_score: 0.224
Validation mitbih | Epoch: 16, cross_entropy_loss: 1.583, unbalanced_acc_score: 0.815, balanced_acc_score: 0.225
Train mitbih | Epoch: 17, cross_entropy_loss: 1.581, unbalanced_acc_score: 0.499, balanced_acc_score: 0.235
Validation mitbih | Epoch: 17, cross_entropy_loss: 1.572, unbalanced_acc_score: 0.078, balanced_acc_score: 0.14
Train mitbih | Epoch: 18, cross_entropy_loss: 1.579, unbalanced_acc_score: 0.314, balanced_acc_score: 0.243
Validation mitbih | Epoch: 18, cross_entropy_loss: 1.567, unbalanced_acc_score: 0.773, balanced_acc_score: 0.236
Train mitbih | Epoch: 19, cross_entropy_loss: 1.569, unbalanced_acc_score: 0.418, balanced_acc_score: 0.24
Validation mitbih | Epoch: 19, cross_entropy_loss: 1.548, unbalanced_acc_score: 0.122, balanced_acc_score: 0.277
Train mitbih | Epoch: 20, cross_entropy_loss: 1.56, unbalanced_acc_score: 0.22, balanced_acc_score: 0.247
Validation mitbih | Epoch: 20, cross_entropy_loss: 1.626, unbalanced_acc_score: 0.084, balanced_acc_score: 0.135
Train mitbih | Epoch: 21, cross_entropy_loss: 1.563, unbalanced_acc_score: 0.136, balanced_acc_score: 0.246
